Timestamp,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Exercise_Type,Label
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.4338,0.3389,-0.8672,0.4888,1.356,0.5505,0.303,2,-0.512,0.4545,-1.1157,0.3579,1.4736,0.6846,0.4687,6,41.0563,111.6623,-116.0278,223.0225,339.0503,118.971,14154.1004,7,-32.7474,252.2359,-318.9087,373.291,692.1997,254.3527,64695.32,6,9.0047,67.556,-147.2168,129.2725,276.4893,68.1535,4644.8968,9,1.0188,5.656,-6.015,10.426,16.441,5.747,33.0283,6,-59.5261,15.5145,-82.381,-36.3593,46.0217,61.5147,3784.0594,0,31.3597,4.1065,23.2141,37.1887,13.9746,31.6275,1000.2971,0,13.2938,No_sign,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.3773,0.3684,-0.728,0.4077,1.1357,0.5273,0.2781,3,-0.4647,0.5513,-1.3301,0.5513,1.8813,0.721,0.5199,7,51.3957,113.3415,-113.0981,209.4727,322.5708,124.45,15487.8063,6,-10.73,239.5348,-309.8145,374.6338,684.4482,239.775,57492.0557,7,4.3538,70.3913,-134.3994,119.2017,253.6011,70.5258,4973.8879,7,0.5446,5.1139,-6.449,8.9319,15.3809,5.1428,26.4487,7,-59.4463,15.4369,-85.1166,-39.0399,46.0767,61.4179,3772.1595,0,32.3405,4.223,25.7245,39.9683,14.2438,32.615,1063.7386,0,13.2561,No_sign,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.5297,0.3226,-0.9526,0.0366,0.9893,0.6202,0.3847,2,-0.4152,0.612,-1.313,0.7993,2.1123,0.7396,0.547,7,51.8107,109.4199,-110.8398,213.9282,324.7681,121.0663,14657.0586,6,-13.0981,244.1856,-295.4102,361.9995,657.4097,244.5366,59798.1465,6,9.9487,85.864,-191.5894,116.333,307.9224,86.4385,7471.6094,8,0.4153,6.7889,-8.9648,13.3594,22.3242,6.8016,46.2619,6,-50.3525,14.7881,-72.9163,-29.6631,43.2532,52.4792,2754.0675,0,40.6772,4.8878,33.3325,49.1913,15.8588,40.9698,1678.5285,0,13.3593,No_sign,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.3033,0.4073,-0.6807,0.7817,1.4624,0.5078,0.2579,6,-0.4456,0.5113,-1.1626,0.5342,1.6968,0.6782,0.46,6,40.8407,120.6008,-128.2349,247.9248,376.1597,127.3283,16212.5019,7,-29.9479,251.1895,-307.6172,383.0566,690.6738,252.9684,63993.0213,6,7.5806,58.2938,-124.2065,77.2095,201.416,58.7846,3455.6322,9,0.7181,5.398,-5.8392,11.0522,16.8915,5.4455,29.6538,7,-51.6866,15.7585,-73.8831,-27.9877,45.8954,54.0355,2919.8397,0,28.374,3.3256,21.5607,34.5465,12.9858,28.5683,816.1451,0,13.2639,No_sign,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.8934,0.5781,-1.4727,0.3525,1.8252,1.0641,1.1324,2,-0.0801,0.5422,-0.6172,1.0503,1.6675,0.5481,0.3004,9,-28.7964,83.7532,-125.6104,128.54,254.1504,88.5654,7843.8359,9,-3.2837,131.5295,-204.895,156.6772,361.5723,131.5705,17310.7885,10,-8.61,70.1058,-134.7656,126.1597,260.9253,70.6325,4988.95,10,0.1743,10.1981,-12.5079,13.9307,26.4386,10.1996,104.0325,10,-137.6144,85.224,-177.4567,174.1992,351.6559,161.8668,26200.8541,2,68.3269,1.3621,66.665,70.5981,3.9331,68.3405,4670.4211,0,13.6254,Clapps,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-1.0724,0.6169,-2.0703,0.041,2.1113,1.2372,1.5306,2,-0.1141,0.4358,-0.6587,0.6953,1.354,0.4505,0.203,9,-37.4023,79.1573,-183.96,77.0264,260.9863,87.5489,7664.8186,9,6.6813,147.6547,-197.0825,197.876,394.9585,147.8057,21846.5358,9,-2.6571,44.8242,-78.3691,57.6782,136.0474,44.9029,2016.2729,9,-0.2201,13.625,-16.8915,19.7919,36.6833,13.6267,185.6881,9,-17.5946,154.1821,-169.3982,179.9945,349.3927,155.1828,24081.702,9,70.6978,2.0614,67.6538,74.4159,6.7621,70.7278,5002.4217,0,13.6476,Clapps,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.973,0.6007,-2.0645,-0.1606,1.9038,1.1435,1.3075,0,-0.1142,0.3924,-0.6973,0.4922,1.1895,0.4087,0.167,9,-36.4339,93.4579,-192.3828,80.6885,273.0713,100.3086,10061.8149,9,-2.2827,129.7566,-205.9937,135.376,341.3696,129.7767,16841.9791,10,-4.9927,64.4016,-94.9707,100.9521,195.9229,64.5948,4172.4898,9,0.5299,10.6209,-10.4095,18.2153,28.6249,10.6341,113.0838,10,-37.3165,148.3546,-161.5045,175.5615,337.066,152.9758,23401.5988,9,68.9337,2.3123,63.089,72.0703,8.9813,68.9725,4757.2037,0,13.5189,Clapps,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-1.0597,0.5452,-1.7925,0.1973,1.9897,1.1917,1.4202,2,-0.0388,0.333,-0.4888,0.7861,1.2749,0.3353,0.1124,8,-42.7327,78.5783,-172.4854,94.6655,267.1509,89.4462,8000.6291,8,-5.1514,137.0765,-192.749,212.3413,405.0903,137.1733,18816.5158,8,7.0068,38.5743,-73.1812,52.3071,125.4883,39.2055,1537.0707,8,0.9807,10.7141,-15.4358,16.5179,31.9537,10.7589,115.754,8,-7.2345,158.1059,-170.343,177.0337,347.3767,158.2714,25049.8266,9,67.9263,2.1244,64.5557,72.9163,8.3606,67.9595,4618.491,0,13.5307,Clapps,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.9898,0.5563,-1.8491,0.02,1.8691,1.1354,1.2891,2,0.0482,0.3432,-0.4692,0.8257,1.2949,0.3465,0.1201,9,-37.3901,77.3672,-167.2974,92.9565,260.2539,85.9285,7383.699,9,-14.7461,130.5647,-194.397,181.4575,375.8545,131.3948,17264.5882,8,10.2051,42.7549,-55.3589,82.7026,138.0615,43.9559,1932.1233,8,1.7219,11.2322,-14.7931,16.9794,31.7725,11.3634,129.1268,8,-7.8505,154.5854,-166.3,166.366,332.666,154.7846,23958.2626,9,69.1454,1.8821,65.9235,72.1143,6.1908,69.171,4784.6267,0,13.4554,Clapps,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.9446,0.5027,-1.6636,-0.1172,1.5464,1.0701,1.145,0,0.0258,0.3212,-0.3457,0.6265,0.9722,0.3222,0.1038,9,-27.7954,77.9341,-156.9824,74.8291,231.8115,82.7424,6846.3104,9,-3.1616,123.2891,-172.1802,177.7954,349.9756,123.3296,15210.1927,9,2.653,42.678,-69.397,78.6133,148.0103,42.7604,1828.451,9,0.6636,10.3189,-14.2053,15.5511,29.7565,10.3402,106.9195,9,-41.9604,147.9565,-164.1248,179.9066,344.0314,153.7914,23651.802,8,72.4017,1.9753,70.1917,76.6791,6.4874,72.4287,5245.9129,0,13.4003,Clapps,1
